lucode,description,native_veg,sed_exp,sed_ret,N_exp,N_ret,P_exp,P_ret,rough_rank,cover_rank,usle_c,usle_p,root_depth,Kc,LULC_veg
1,alfalfa,0,0.19,0.84,0.12,0.802,0.082,0.796,0.163,0.814,0.19,1,2000,0.95,1
2,bare soil,0,1,0.26,0.127,0.116,0.055,0.136,0.013,0.114,1,1,100,0.175,1
3,barley,0,0.19,0.84,0.197,0.802,0.07,0.796,0.163,0.814,0.19,1,1500,1.15,1
4,coffee,0,0.11,0.84,0.138,0.802,0.142,0.796,0.163,0.814,0.11,1,1500,0.95,1
5,conifer forest or woodland,1,0.003,0.68,0.07,0.924,0.035,1,1,0.714,0.003,1,1920,1,1
6,cotton,0,0.19,0.84,0.198,0.802,0.482,0.796,0.163,0.814,0.19,1,1700,1.15,1
7,temperate evergreen broadleaf forest,1,0.003,0.75,0.104,0.924,0.087,1,1,0.714,0.003,1,1740,1,1
8,feedlot,0,0.14,0.2,1,0.116,1,0.136,0.013,0.114,0.14,1,100,0.175,1
9,giant cane,0,0.003,0.94,0.054,0.588,0.008,0.653,0.163,0.357,0.003,1,1100,1.55,1
10,mine,0,1,0.26,0.127,0.116,0.055,0.136,0.013,0.114,1,1,100,0.175,0
11,"mixed forest, agriculture",0,0.097,0.795,0.221,0.863,0.107,0.898,0.457,0.764,0.097,1,2095,1.073,1
12,"mixed forest, agriculture, pasture",0,0.111,0.81,0.057,0.73,0.065,0.816,0.471,0.843,0.111,1,1896,1.03,1
13,"mixed forest, pasture",0,0.072,0.795,0.076,0.694,0.03,0.827,0.625,0.857,0.072,1,2089,0.95,1
14,mixed urban,0,0.1,0.2,0.133,0.494,0.139,0.272,0.15,0.143,0.1,1,1500,0.51,1
15,oats,0,0.04,0.84,0.185,0.802,0.07,0.796,0.163,0.814,0.04,1,1500,1.15,1
16,open water,0,0.04,0.2,0,0.07,0,0.83,0.0001,0,0.04,1,1,1,0
17,other high N export crops ,0,0.19,0.84,0.37,0.802,0.306,0.796,0.163,0.814,0.19,1,1500,1.1,1
18,other low N export crops ,0,0.19,0.84,0.067,0.802,0.059,0.796,0.163,0.814,0.19,1,1500,1.1,1
19,paramo,1,0.003,0.75,0.245,0.924,0.011,1,0.069,1,0.003,1,200,0.42,1
20,perennial ice/snow,0,0,0.2,0.127,0.116,0.055,0.136,0.0001,0,0,1,100,0.25,0
21,permanent crops,0,0.19,0.84,1,0.593,0.035,0.796,0.163,0.814,0.19,1,1400,1.05,1
22,pine plantation,0,0.003,0.75,0.006,0.924,0.001,1,0.75,0.714,0.003,1,1920,1,1
23,potatoes,0,0.54,0.84,0.37,0.802,0.07,0.796,0.163,0.814,0.54,1,600,1.15,1
24,rapeseed,0,0.19,0.84,0.577,0.802,0.07,0.796,0.163,0.814,0.19,1,1500,1.075,1
25,riparian grassland,1,0.003,0.94,0.662,0.498,0.195,0.626,0.75,1,0.003,1,1560,1.2,1
26,shrub/scrub,1,0.5,0.505,0.006,0.515,0.011,0.367,0.069,0.357,0.5,1,3120,0.43,1
27,soy beans,0,0.19,0.84,0.234,0.802,0.499,0.796,0.163,0.814,0.19,1,1300,1.15,1
28,sugarcane,0,0.24,0.84,0.105,0.802,0.074,0.796,0.163,0.814,0.24,1,2000,1.25,1
29,swamp grass,1,0.003,0.67,0.662,0.498,0.195,0.626,0.75,1,0.003,1,2000,1.2,1
30,tea,0,0.19,0.84,0.101,0.802,0.183,0.796,0.163,0.814,0.19,1,1500,1.075,1
31,temperate corn,0,0.08,0.84,0.185,0.802,0.217,0.796,0.163,0.814,0.08,1,1450,1.175,1
32,temperate deciduous forest,1,0.003,0.75,0.036,0.924,0.01,1,0.5,0.714,0.003,1,1740,1,1
33,temperate grassland,1,0.003,0.83,0.057,0.588,0.008,0.653,0.163,0.357,0.003,1,1560,0.56,1
34,temperate mixed agriculture,0,0.19,0.84,0.177,0.802,0.07,0.796,0.163,0.814,0.19,1,1473,1.12,1
35,temperate mixed forest,1,0.003,0.73,0.038,0.924,0.022,1,0.75,0.714,0.003,1,1740,1,1
36,temperate pasture,0,0.14,0.84,0.241,0.464,0.033,0.653,0.5,1,0.14,1,1500,0.9,1
37,temperate urban,0,0.1,0.2,0.103,0.494,0.098,0.272,0.014,0.029,0.1,1,1000,0.4,1
38,tropical corn,0,0.08,0.84,0.415,0.802,0.217,0.796,0.163,0.814,0.08,1,1450,1.175,1
39,tropical deciduous forest,1,0.003,0.75,0.054,0.924,0.01,1,0.5,0.714,0.003,1,2220,1,1
40,tropical grassland,1,0.003,0.83,0.054,0.588,0.008,0.653,0.163,0.357,0.003,1,9000,0.56,1
41,tropical mixed agriculture,0,0.19,0.84,0.138,0.802,0.142,0.796,0.163,0.814,0.19,1,1550,1.1,1
42,tropical montane/rain forest,1,0.003,0.75,0.074,0.924,0.041,1,0.75,0.714,0.003,1,4380,1,1
43,tropical pasture,0,0.14,0.84,0.196,0.464,0.9,0.653,0.5,1,0.14,1,1500,0.9,1
44,tropical urban,0,0.1,0.2,0.222,0.494,0.277,0.272,0.014,0.029,0.1,1,1000,0.45,1
45,tropical/subtropical mixed forest,1,0.003,0.75,0.054,0.924,0.01,1,0.75,0.714,0.003,1,3300,1,1
46,tundra,1,0.003,0.75,0.127,0.924,0.055,0.653,0.069,0.357,0.003,1,300,0.3,1
47,wetland,1,0.003,0.94,0.022,0.498,0.007,0.626,0.75,1,0.003,1,2000,1.2,1
48,wheat,0,0.19,0.84,0.167,0.802,0.173,0.796,0.163,0.814,0.19,1,1650,1.15,1
49,woody riparian vegetation,1,0.003,0.87,0.106,1,0.029,0.626,0.75,1,0.003,1,3300,1.1,1
50,swamp forest/marsh,1,0.003,0.94,0.662,0.498,0.195,0.626,0.75,1,0.003,1,2000,1.2,1
51,floodplain forest,1,0.001,0.87,0.054,0.65,0.029,1,0.75,0.714,0.001,1,3300,1,1
52,roads (paved),0,0.5,0.13,0.127,0.116,0.38,0.136,0.001,0,0.5,1,1,0.175,0
53,tropical evergreen forest,1,0.003,0.75,0.054,0.924,0.152,1,0.75,0.714,0.003,1,4380,1,1
